2020,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1st,33.2,42.7,31.0,25.8,9.4,12.5,15.1,13.2,14.8,17.2,,,
2nd,33.2,33.7,31.1,20.0,10.8,11.8,14.0,11.8,18.0,22.0,,,
3rd,37.8,29.2,19.0,16.9,14.2,13.2,11.6,14.1,20.2,24.0,,,
4th,44.0,25.3,19.0,16.6,15.4,13.2,11.4,12.3,18.8,25.3,,,
5th,21.7,29.1,19.6,14.3,17.2,13.2,13.5,9.9,17.3,,,,
6th,21.5,25.4,25.5,18.5,18.0,13.6,9.5,10.8,17.6,,,,
7th,35.0,23.7,23.2,18.0,18.8,11.3,13.9,10.5,20.3,,,,
8th,34.9,23.9,20.8,18.9,19.8,13.7,11.9,12.4,22.0,,,,
9th,26.1,18.4,21.1,20.5,16.4,12.9,14.5,11.3,11.8,,,,
10th,39.4,27.6,23.7,18.5,11.6,15.5,15.1,12.6,14.6,,,,
11th,28.3,28.7,24.1,17.0,13.8,14.2,8.5,11.5,17.8,,,,
12th,22.1,28.2,24.3,17.1,14.2,14.8,11.7,12.6,19.3,,,,
13th,26.9,27.4,25.0,17.4,15.0,16.2,11.7,16.9,15.8,,,,
14th,32.1,29.2,18.2,20.3,15.0,13.2,12.6,14.7,20.1,,,,
15th,33.2,29.8,19.6,24.4,15.0,14.1,12.5,11.1,20.5,,,,
16th,29.3,26.0,20.5,22.6,16.1,15.2,12.8,14.9,21.0,,,,
17th,24.8,26.3,22.9,18.8,17.1,13.4,14.4,13.6,23.1,,,,
18th,25.3,31.2,25.2,18.5,17.3,14.9,12.9,14.3,16.8,,,,
19th,31.3,21.1,28.1,17.9,17.4,15.8,13.8,11.2,22.1,,,,
20th,27.9,25.4,28.6,18.2,15.3,17.1,13.8,10.7,17.8,,,,
21st,27.6,26.5,24.3,20.8,14.3,12.4,13.8,10.5,23.8,,,,
22nd,34.3,26.3,25.4,20.7,12.9,10.6,14.3,7.5,18.3,,,,
23rd,34.9,26.5,21.5,18.7,11.3,11.6,11.8,10.9,14.6,,,,
24th,28.8,29.7,23.0,22.3,14.1,15.2,14.7,11.0,13.1,,,,
25th,33.7,30.6,24.9,20.8,13.6,13.1,15.1,12.6,11.3,,,,
26th,34.7,29.8,20.9,17.5,15.2,12.2,12.0,13.9,10.5,,,,
27th,35.9,26.2,21.5,18.5,14.3,11.2,12.2,15.6,14.5,,,,
28th,34.4,28.3,22.1,21.9,16.6,13.0,15.6,13.7,16.7,,,,
29th,32.0,26.7,25.0,16.8,14.6,11.4,15.7,18.6,18.0,,,,
30th,37.3,,23.7,9.7,15.5,13.1,14.7,18.4,17.1,,,,
31st,41.9,,23.6,,16.0,,13.5,15.0,,,,,
Highest daily,44.0,42.7,31.1,25.8,19.8,17.1,15.7,18.6,23.8,25.3,,,
Lowest daily,21.5,18.4,18.2,9.7,9.4,10.6,8.5,7.5,10.5,17.2,,,
Monthly mean,31.7,27.7,23.4,18.9,15.0,13.5,13.2,12.8,,,,,
"Quality control: 12.3 Done & acceptable, 12.3 Not quality controlled or uncertain, 12.3 Precise date unknown",,,,,,,,,,,,,
Product code: IDCJAC0010 reference: 66790614,,,,,,,,,,,,,
Statistics for this station calculated over all years of data,,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
Mean,30.8,28.2,25.2,21.0,16.6,13.4,12.8,14.0,18.1,21.7,25.3,27.8,
Highest monthly mean,34.5,30.1,27.7,25.0,17.6,14.1,13.7,16.0,21.0,24.8,29.4,31.7,
Lowest monthly mean,27.4,25.0,22.1,18.9,15.0,12.9,11.5,12.3,15.8,18.5,22.5,23.6,
Highest daily,44.0,42.7,35.5,31.8,24.5,17.7,18.8,21.3,30.2,32.1,39.9,41.1,
Date of highest daily,4th 2020,1st 2020,5th 2016,11th 2018,3rd 2018,2nd 2011,19th 2016,3rd 2011,23rd 2017,21st 2013,20th 2009,21st 2019,
Lowest daily,17.1,16.9,16.4,9.7,9.1,4.1,7.0,7.5,9.2,8.6,11.9,14.8,
Date of lowest daily,5th 2016,12th 2009,30th 2019,30th 2020,27th 2019,12th 2009,9th 2014,22nd 2020,27th 2009,11th 2012,10th 2013,15th 2016,
"1) Calculation of statistics
Summary statistics, other than the Highest and Lowest values, are only calculated if there are at least 10 years of data available.
2) Gaps and missing data
Gaps may be caused by a damaged instrument, a temporary change to the site operation, or due to the absence or illness of an observer.
3) Further information http://www.bom.gov.au/climate/cdo/about/about-airtemp-data.shtml.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Product code: IDCJAC0010 reference: 66790614 Created on Mon 05 Oct 2020 20:07:47 PM AEDT,,,,,,,,,,,,,
