continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population,median_age,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
North America,Aruba,2020-09-30,3934.0,62.0,26.0,1.0,106766.0,41.2,0.0,11.62,0.0,0.0,0.0,76.29,0.0
Asia,Afghanistan,2020-09-30,39254.0,15.0,1458.0,2.0,38928341.0,18.6,597.029,9.59,0.0,0.0,37.746,64.83,0.498
Africa,Angola,2020-09-30,4905.0,108.0,179.0,3.0,32866268.0,16.8,276.045,3.94,0.0,0.0,26.664,61.15,0.581
North America,Anguilla,2020-09-30,3.0,0.0,0.0,0.0,15002.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88,0.0
Europe,Albania,2020-09-30,13518.0,127.0,384.0,4.0,2877800.0,38.0,304.195,10.08,7.1,51.2,0.0,78.57,0.785
Europe,Andorra,2020-09-30,1966.0,0.0,53.0,0.0,77265.0,0.0,109.135,7.97,29.0,37.8,0.0,83.73,0.858
Asia,United Arab Emirates,2020-09-30,93090.0,995.0,416.0,3.0,9890400.0,34.0,317.84,17.26,1.2,37.4,0.0,77.97,0.863
South America,Argentina,2020-09-30,736596.0,13477.0,16519.0,406.0,45195777.0,31.9,191.032,5.5,16.2,27.7,0.0,76.67,0.825
Asia,Armenia,2020-09-30,49901.0,327.0,958.0,1.0,2963234.0,35.7,341.01,7.11,1.5,52.1,94.04299999999999,75.09,0.755
North America,Antigua and Barbuda,2020-09-30,101.0,0.0,3.0,0.0,97928.0,32.1,191.511,13.17,0.0,0.0,0.0,77.02,0.78
Oceania,Australia,2020-09-30,27063.0,19.0,882.0,7.0,25499881.0,37.9,107.791,5.07,13.0,16.5,0.0,83.44,0.9390000000000001
Europe,Austria,2020-09-30,44607.0,722.0,796.0,6.0,9006400.0,44.4,145.183,6.35,28.4,30.9,0.0,81.54,0.9079999999999999
Asia,Azerbaijan,2020-09-30,40119.0,58.0,590.0,2.0,10139175.0,32.4,559.812,7.11,0.3,42.5,83.241,73.0,0.757
Africa,Burundi,2020-09-30,506.0,4.0,1.0,0.0,11890781.0,17.5,293.068,6.05,0.0,0.0,6.144,61.58,0.41700000000000004
